,CodeName,Name,Description
266,LUXURYBALL,Luxury Ball,A comfortable Poké Ball that makes a caught wild Pokémon quickly grow friendly.
267,PREMIERBALL,Premier Ball,A somewhat rare Poké Ball that has been specially made to commemorate an event of some sort.
268,DUSKBALL,Dusk Ball,A somewhat different Poké Ball that makes it easier to catch wild Pokémon at night or in dark places like caves.
269,HEALBALL,Heal Ball,A remedial Poké Ball that restores the caught Pokémon's HP and eliminates any status problem.
270,QUICKBALL,Quick Ball,A somewhat different Poké Ball that provides a better catch rate if it is used at the start of a wild encounter.
271,CHERISHBALL,Cherish Ball,A quite rare Poké Ball that has been specially crafted to commemorate an occasion of some sort.
272,FASTBALL,Fast Ball,A Poké Ball that makes it easier to catch Pokémon which are quick to run away.
273,LEVELBALL,Level Ball,A Poké Ball for catching Pokémon that are a lower level than your own.
274,LUREBALL,Lure Ball,A Poké Ball for catching Pokémon hooked by a Rod when fishing.
275,HEAVYBALL,Heavy Ball,A Poké Ball for catching very heavy Pokémon.
276,LOVEBALL,Love Ball,A Poké Ball for catching Pokémon that are the opposite gender of your Pokémon.
277,FRIENDBALL,Friend Ball,A Poké Ball that makes caught Pokémon more friendly.
278,MOONBALL,Moon Ball,A Poké Ball for catching Pokémon that evolve using the Moon Stone.
279,TM01,TM01,"The user is roused, and its Attack and Sp. Atk stats increase."
280,TM02,TM02,"The user slashes the target with huge, sharp claws."
281,TM03,TM03,The user materializes an odd psychic wave to attack the target. This attack does physical damage.
282,TM04,TM04,The user quietly focuses its mind and calms its spirit to raise its Sp. Atk and Sp. Def stats.
283,TM05,TM05,"The target is scared off and replaced by another Pokémon in its party. In the wild, the battle ends."
284,TM06,TM06,A move that leaves the target badly poisoned. Its poison damage worsens every turn.
285,TM07,TM07,Summons a hailstorm that lasts for five turns. The hailstorm damages all types except Ice.
286,TM08,TM08,"The user tenses its muscles to bulk up its body, boosting both its Attack and Defense stats."
287,TM09,TM09,The user drenches the target in a special poisonous liquid. Its power is doubled if the target is poisoned.
288,TM10,TM10,A unique attack that varies in type and intensity depending on the Pokémon using it.
289,TM11,TM11,"The user intensifies the sun for five turns, powering up Fire-type moves."
290,TM12,TM12,The target is taunted into a rage that allows it to use only attack moves for three turns.
291,TM13,TM13,The target is struck with an icy-cold beam of energy. It may also freeze the target solid.
292,TM14,TM14,A howling blizzard is summoned to strike the opposing team. It may also freeze them solid.
293,TM15,TM15,The target is attacked with a powerful beam. The user must rest on the next turn to regain its energy.
294,TM16,TM16,A wondrous wall of light is put up to suppress damage from special attacks for five turns.
295,TM17,TM17,It enables the user to evade all attacks. Its chance of failing rises if it is used in succession.
296,TM18,TM18,"The user summons a heavy rain that falls for five turns, powering up Water-type moves."
297,TM19,TM19,The user attacks the target with a secret power. Its added effects vary depending on the user's environment.
298,TM20,TM20,The user creates a protective field that prevents status problems for five turns.
299,TM21,TM21,A full-power attack that grows more powerful the less the user likes its Trainer.
300,TM22,TM22,"A two-turn attack. The user gathers light, then blasts a bundled beam on the second turn."
301,TM23,TM23,The user throws a stone or projectile to attack an opponent. A flying Pokémon will fall to the ground when it's hit.
302,TM24,TM24,A strong electric blast is loosed at the target. It may also leave the target with paralysis.
303,TM25,TM25,A wicked thunderbolt is dropped on the target to inflict damage. It may also leave the target with paralysis.
304,TM26,TM26,The user sets off an earthquake that strikes every Pokémon around it.
305,TM27,TM27,A full-power attack that grows more powerful the more the user likes its Trainer.
306,TM28,TM28,"The user burrows, then attacks on the second turn. It can also be used to exit dungeons."
307,TM29,TM29,The target is hit by a strong telekinetic force. It may also reduce the target's Sp. Def stat.
308,TM30,TM30,The user hurls a shadowy blob at the target. It may also lower the target's Sp. Def stat.
309,TM31,TM31,"The user attacks with tough fists, etc. It can also break any barrier such as Light Screen and Reflect."
310,TM32,TM32,"By moving rapidly, the user makes illusory copies of itself to raise its evasiveness."
311,TM33,TM33,A wondrous wall of light is put up to suppress damage from physical attacks for five turns.
312,TM34,TM34,It swamps the area around the user with a giant sludge wave. It may also poison those hit.
313,TM35,TM35,The target is scorched with an intense blast of fire. It may also leave the target with a burn.
314,TM36,TM36,Unsanitary sludge is hurled at the target. It may also poison the target.
315,TM37,TM37,"A five-turn sandstorm is summoned to hurt all combatants except the Rock, Ground, and Steel types."
316,TM38,TM38,The target is attacked with an intense blast of all-consuming fire. It may also leave the target with a burn.
317,TM39,TM39,Boulders are hurled at the target. It also lowers the target's Speed by preventing its movement.
318,TM40,TM40,"The user confounds the target with speed, then slashes. The attack lands without fail."
319,TM41,TM41,"The user torments and enrages the target, making it incapable of using the same move twice in a row."
320,TM42,TM42,"An attack move that doubles its power if the user is poisoned, paralyzed, or has a burn."
321,TM43,TM43,"The user cloaks itself with flame and attacks. Building up more power, it raises the user's Speed stat."
322,TM44,TM44,The user goes to sleep for two turns. It fully restores the user's HP and heals any status problem.
323,TM45,TM45,"If it is the opposite gender of the user, the target becomes infatuated and less likely to attack."
324,TM46,TM46,The user attacks and steals the target's held item simultaneously. It can't steal if the user holds an item.
325,TM47,TM47,"The user attacks the target's legs swiftly, reducing the target's Speed stat."
326,TM48,TM48,The user attacks the target with a song. Others can join in the Round and make the attack do greater damage.
327,TM49,TM49,"The user attacks the target with an echoing voice. If this move is used every turn, it does greater damage."
328,TM50,TM50,The user attacks the target at full power. The attack's recoil sharply reduces the user's Sp. Atk stat.
329,TM51,TM51,The target is hit with wings of steel. This may also raise the user's Defense stat.
330,TM52,TM52,The user heightens its mental focus and unleashes its power. It may also lower the target's Sp. Def.
331,TM53,TM53,The user draws power from nature and fires it at the target. It may also lower the target's Sp. Def.
332,TM54,TM54,A restrained attack that prevents the target from fainting. The target is left with at least 1 HP.
333,TM55,TM55,The user shoots boiling hot water at its target. It may also leave the target with a burn.
334,TM56,TM56,The user flings its held item at the target as an attack. Its power and effects depend on the item.
335,TM57,TM57,The user attacks with an electric charge. The user may use any remaining electricity to raise its Sp. Atk stat.
336,TM58,TM58,"The user hurls the target into the air, then drops it on the second turn. The target cannot attack while in the air."
337,TM59,TM59,"The user attacks the target with fire. If the target is holding a Berry, the Berry becomes burnt up and unusable."
338,TM60,TM60,The user suppresses the target and makes its move go last.
339,TM61,TM61,"The user shoots a sinister, bluish-white flame at the target to inflict a burn."
340,TM62,TM62,"The user nimbly strikes the target. If the user is not holding an item, this attack inflicts massive damage."
341,TM63,TM63,It prevents the target from using its held item. Its Trainer is also prevented from using items on it.
342,TM64,TM64,The user explodes to inflict damage on those around it. The user faints upon using this move.
343,TM65,TM65,The user slashes with a sharp claw made from shadows. It has a high critical-hit ratio.
344,TM66,TM66,"The user stores power, then attacks. If the user can use this attack after the target, its power is doubled."
345,TM67,TM67,The user lands and rests its body. It restores the user's HP by up to half of its max HP.
346,TM68,TM68,The user charges at the target using every bit of its power. The user must rest on the next turn.
347,TM69,TM69,The user polishes its body to reduce drag. It sharply raises the Speed stat.
348,TM70,TM70,The user flashes a bright light that cuts the target's accuracy. It can also be used to illuminate caves.
349,TM71,TM71,The user stabs the foe with sharpened stones from below. It has a high critical-hit ratio.
350,TM72,TM72,"After making its attack, the user rushes back to switch places with a party Pokémon in waiting."
351,TM73,TM73,A weak electric charge is launched at the target. It causes paralysis if it hits.
352,TM74,TM74,"The user tackles the target with a high-speed spin. The slower the user, the greater the damage."
353,TM75,TM75,A frenetic dance to uplift the fighting spirit. It sharply raises the user's Attack stat.
354,TM76,TM76,"Resisting, the user attacks the opposing Pokémon. The targets' Sp. Atk stat is reduced."
355,TM77,TM77,The user hypnotizes itself into copying any stat change made by the target.
356,TM78,TM78,The user stomps down on the ground and attacks everything in the area. The targets' Speed stat is reduced.
357,TM79,TM79,The user blows a cold breath on the target. This attack always results in a critical hit.
358,TM80,TM80,Large boulders are hurled at the opposing team to inflict damage. They may also make the targets flinch.
359,TM81,TM81,The user slashes at the target by crossing its scythes or claws as if they were a pair of scissors.
360,TM82,TM82,"The user knocks away the target and drags out another Pokémon in its party. In the wild, the battle ends."
361,TM83,TM83,The target is infested and attacked for four to five turns. The target can't flee during this time.
362,TM84,TM84,The target is stabbed with a tentacle or arm steeped in poison. It may also poison the target.
363,TM85,TM85,The user eats the dreams of a sleeping target. It absorbs half the damage caused to heal the user's HP.
364,TM86,TM86,"The user snares the target with grass and trips it. The heavier the target, the greater the damage."
365,TM87,TM87,"The user enrages and confuses the target. However, it also sharply raises the target's Attack stat."
366,TM88,TM88,"While it is asleep, the user randomly uses one of the moves it knows."
367,TM89,TM89,"After making its attack, the user rushes back to switch places with a party Pokémon in waiting."
368,TM90,TM90,The user makes a copy of itself using some of its HP. The copy serves as the user's decoy.
369,TM91,TM91,The user gathers all its light energy and releases it at once. It may also lower the target's Sp. Def stat.
370,TM92,TM92,The user creates a bizarre space in which slower Pokémon get to move first for five turns.
371,TM93,TM93,The user shrouds itself in electricity and smashes into its target. It also damages the user a little.
372,TM94,TM94,The user attacks with a punch that can shatter a rock. It may also lower the target's Defense stat.
373,TM95,TM95,"The user yells as if it is ranting about something, making the target's Sp. Atk stat decrease."
374,CHERIBERRY,Cheri Berry,It may be used or held by a Pokémon to recover from paralysis.
375,CHESTOBERRY,Chesto Berry,It may be used or held by a Pokémon to recover from sleep.
376,PECHABERRY,Pecha Berry,It may be used or held by a Pokémon to recover from poison.
377,RAWSTBERRY,Rawst Berry,It may be used or held by a Pokémon to recover from a burn.
378,ASPEARBERRY,Aspear Berry,It may be used or held by a Pokémon to defrost it.
379,LEPPABERRY,Leppa Berry,It may be used or held by a Pokémon to restore a move's PP by 10.
380,ORANBERRY,Oran Berry,It may be used or held by a Pokémon to heal the user by just 10 HP.
381,PERSIMBERRY,Persim Berry,It may be used or held by a Pokémon to recover from confusion.
382,LUMBERRY,Lum Berry,It may be used or held by a Pokémon to recover from any status problem.
383,SITRUSBERRY,Sitrus Berry,It may be used or held by a Pokémon to heal the user's HP a little.
384,FIGYBERRY,Figy Berry,"If held by a Pokémon, it restores the user's HP in a pinch, but will cause confusion if it hates the taste."
385,WIKIBERRY,Wiki Berry,"If held by a Pokémon, it restores the user's HP in a pinch, but will cause confusion if it hates the taste."
386,MAGOBERRY,Mago Berry,"If held by a Pokémon, it restores the user's HP in a pinch, but will cause confusion if it hates the taste."
387,AGUAVBERRY,Aguav Berry,"If held by a Pokémon, it restores the user's HP in a pinch, but will cause confusion if it hates the taste."
388,IAPAPABERRY,Iapapa Berry,"If held by a Pokémon, it restores the user's HP in a pinch, but will cause confusion if it hates the taste."
389,RAZZBERRY,Razz Berry,"In the Sinnoh region, they like to make sweets known as Poffins with this Berry and feed them to their Pokémon."
390,BLUKBERRY,Bluk Berry,"In the Sinnoh region, they like to make sweets known as Poffins with this Berry and feed them to their Pokémon."
391,NANABBERRY,Nanab Berry,"In the Sinnoh region, they like to make sweets known as Poffins with this Berry and feed them to their Pokémon."
392,WEPEARBERRY,Wepear Berry,"In the Sinnoh region, they like to make sweets known as Poffins with this Berry and feed them to their Pokémon."
393,PINAPBERRY,Pinap Berry,"In the Sinnoh region, they like to make sweets known as Poffins with this Berry and feed them to their Pokémon."
394,POMEGBERRY,Pomeg Berry,"Using it on a Pokémon makes it more friendly, but it also lowers its base HP."
395,KELPSYBERRY,Kelpsy Berry,"Using it on a Pokémon makes it more friendly, but it also lowers its base Attack stat."
396,QUALOTBERRY,Qualot Berry,"Using it on a Pokémon makes it more friendly, but it also lowers its base Defense stat."
397,HONDEWBERRY,Hondew Berry,"Using it on a Pokémon makes it more friendly, but it also lowers its base Sp. Atk stat."
398,GREPABERRY,Grepa Berry,"Using it on a Pokémon makes it more friendly, but it also lowers its base Sp. Def stat."
399,TAMATOBERRY,Tamato Berry,"Using it on a Pokémon makes it more friendly, but it also lowers its base Speed stat."
400,CORNNBERRY,Cornn Berry,"In the Sinnoh region, they like to make sweets known as Poffins with this Berry and feed them to their Pokémon."
401,MAGOSTBERRY,Magost Berry,"In the Sinnoh region, they like to make sweets known as Poffins with this Berry and feed them to their Pokémon."
402,RABUTABERRY,Rabuta Berry,"In the Sinnoh region, they like to make sweets known as Poffins with this Berry and feed them to their Pokémon."
403,NOMELBERRY,Nomel Berry,"In the Sinnoh region, they like to make sweets known as Poffins with this Berry and feed them to their Pokémon."
404,SPELONBERRY,Spelon Berry,"In the Sinnoh region, they like to make sweets known as Poffins with this Berry and feed them to their Pokémon."
405,PAMTREBERRY,Pamtre Berry,"In the Sinnoh region, they like to make sweets known as Poffins with this Berry and feed them to their Pokémon."
406,WATMELBERRY,Watmel Berry,"In the Sinnoh region, they like to make sweets known as Poffins with this Berry and feed them to their Pokémon."
407,DURINBERRY,Durin Berry,"In the Sinnoh region, they like to make sweets known as Poffins with this Berry and feed them to their Pokémon."
408,BELUEBERRY,Belue Berry,"In the Sinnoh region, they like to make sweets known as Poffins with this Berry and feed them to their Pokémon."
409,OCCABERRY,Occa Berry,Weakens a supereffective Fire-type attack against the holding Pokémon.
410,PASSHOBERRY,Passho Berry,Weakens a supereffective Water-type attack against the holding Pokémon.
411,WACANBERRY,Wacan Berry,Weakens a supereffective Electric-type attack against the holding Pokémon.
412,RINDOBERRY,Rindo Berry,Weakens a supereffective Grass-type attack against the holding Pokémon.
413,YACHEBERRY,Yache Berry,Weakens a supereffective Ice-type attack against the holding Pokémon.
414,CHOPLEBERRY,Chople Berry,Weakens a supereffective Fighting-type attack against the holding Pokémon.
415,KEBIABERRY,Kebia Berry,Weakens a supereffective Poison-type attack against the holding Pokémon.
416,SHUCABERRY,Shuca Berry,Weakens a supereffective Ground-type attack against the holding Pokémon.
417,COBABERRY,Coba Berry,Weakens a supereffective Flying-type attack against the holding Pokémon.
418,PAYAPABERRY,Payapa Berry,Weakens a supereffective Psychic-type attack against the holding Pokémon.
419,TANGABERRY,Tanga Berry,Weakens a supereffective Bug-type attack against the holding Pokémon.
420,CHARTIBERRY,Charti Berry,Weakens a supereffective Rock-type attack against the holding Pokémon.
421,KASIBBERRY,Kasib Berry,Weakens a supereffective Ghost-type attack against the holding Pokémon.
422,HABANBERRY,Haban Berry,Weakens a supereffective Dragon-type attack against the holding Pokémon.
423,COLBURBERRY,Colbur Berry,Weakens a supereffective Dark-type attack against the holding Pokémon.
424,BABIRIBERRY,Babiri Berry,Weakens a supereffective Steel-type attack against the holding Pokémon.
425,CHILANBERRY,Chilan Berry,Weakens a Normal-type attack against the Pokémon holding this berry.
426,LIECHIBERRY,Liechi Berry,"If held by a Pokémon, it raises its Attack stat in a pinch."
427,GANLONBERRY,Ganlon Berry,"If held by a Pokémon, it raises its Defense stat in a pinch."
428,SALACBERRY,Salac Berry,"If held by a Pokémon, it raises its Speed stat in a pinch."
429,PETAYABERRY,Petaya Berry,"If held by a Pokémon, it raises its Sp. Atk stat in a pinch."
430,APICOTBERRY,Apicot Berry,"If held by a Pokémon, it raises its Sp. Def stat in a pinch."
431,LANSATBERRY,Lansat Berry,"If held by a Pokémon, it raises its critical-hit ratio in a pinch."
432,STARFBERRY,Starf Berry,"If held by a Pokémon, it sharply raises one of its stats in a pinch."
433,ENIGMABERRY,Enigma Berry,"If held by a Pokémon, it restores its HP if it is hit by any supereffective attack."
434,MICLEBERRY,Micle Berry,"If held by a Pokémon, it raises the accuracy of a move just once in a pinch."
435,CUSTAPBERRY,Custap Berry,"If held by a Pokémon, it gets to move first just once in a pinch."
436,JABOCABERRY,Jaboca Berry,"If held by a Pokémon and a physical attack lands, the attacker also takes damage."
437,ROWAPBERRY,Rowap Berry,"If held by a Pokémon and a special attack lands, the attacker also takes damage."
438,GRASSMAIL,Grass Mail,Stationery featuring a print of a refreshingly green field. Let a Pokémon hold it for delivery.
439,FLAMEMAIL,Flame Mail,Stationery featuring a print of flames in blazing red. Let a Pokémon hold it for delivery.
440,BUBBLEMAIL,Bubble Mail,Stationery featuring a print of a blue world underwater. Let a Pokémon hold it for delivery.
441,BLOOMMAIL,Bloom Mail,Stationery featuring a print of pretty floral patterns. Let a Pokémon hold it for delivery.
442,TUNNELMAIL,Tunnel Mail,Stationery featuring a print of a dimly lit coal mine. Let a Pokémon hold it for delivery.
443,STEELMAIL,Steel Mail,Stationery featuring a print of cool mechanical designs. Let a Pokémon hold it for delivery.
444,HEARTMAIL,Heart Mail,Stationery featuring a print of giant heart patterns. Let a Pokémon hold it for delivery.
445,SNOWMAIL,Snow Mail,"Stationery featuring a print of a chilly, snow-covered world. Let a Pokémon hold it for delivery."
446,SPACEMAIL,Space Mail,Stationery featuring a print depicting the huge expanse of space. Let a Pokémon hold it for delivery.
447,AIRMAIL,Air Mail,Stationery featuring a print of colorful letter sets. Let a Pokémon hold it for delivery.
448,MOSAICMAIL,Mosaic Mail,Stationery featuring a print of a vivid rainbow pattern. Let a Pokémon hold it for delivery.
449,BRICKMAIL,Brick Mail,Stationery featuring a print of a tough-looking brick pattern. Let a Pokémon hold it for delivery.
450,XATTACK,X Attack,An item that raises the Attack stat of a Pokémon in battle. It wears off if the Pokémon is withdrawn.
451,XATTACK2,X Attack 2,It sharply raises the Attack stat of a Pokémon in battle. It wears off if the Pokémon is withdrawn.
452,XATTACK3,X Attack 3,It drastically raises the Attack stat of a Pokémon in battle. It wears off if the Pokémon is withdrawn.
453,XATTACK6,X Attack 6,It raises the Attack stat of a Pokémon in battle immensely. It wears off if the Pokémon is withdrawn.
454,XDEFEND,X Defend,An item that raises the Defense of a Pokémon in battle. It wears off if the Pokémon is withdrawn.
455,XDEFEND2,X Defend 2,It sharply raises the Defense stat of a Pokémon in battle. It wears off if the Pokémon is withdrawn.
456,XDEFEND3,X Defend 3,It drastically raises the Defense stat of a Pokémon in battle. It wears off if the Pokémon is withdrawn.
457,XDEFEND6,X Defend 6,It raises the Defense stat of a Pokémon in battle immensely. It wears off if the Pokémon is withdrawn.
458,XSPECIAL,X Special,An item that raises the Sp. Atk stat of a Pokémon in battle. It wears off if the Pokémon is withdrawn.
459,XSPECIAL2,X Special 2,It sharply raises the Sp. Atk stat of a Pokémon in battle. It wears off if the Pokémon is withdrawn.
460,XSPECIAL3,X Special 3,It drastically raises the Sp. Atk stat of a Pokémon in battle. It wears off if the Pokémon is withdrawn.
461,XSPECIAL6,X Special 6,It raises the Sp. Atk stat of a Pokémon in battle immensely. It wears off if the Pokémon is withdrawn.
462,XSPDEF,X Sp. Def,An item that raises the Sp. Def stat of a Pokémon in battle. It wears off if the Pokémon is withdrawn.
463,XSPDEF2,X Sp. Def 2,It sharply raises the Sp. Def stat of a Pokémon in battle. It wears off if the Pokémon is withdrawn.
464,XSPDEF3,X Sp. Def 3,It drastically raises the Sp. Def stat of a Pokémon in battle. It wears off if the Pokémon is withdrawn.
465,XSPDEF6,X Sp. Def 6,It raises the Sp. Def stat of a Pokémon in battle immensely. It wears off if the Pokémon is withdrawn.
466,XSPEED,X Speed,An item that raises the Speed stat of a Pokémon in battle. It wears off if the Pokémon is withdrawn.
467,XSPEED2,X Speed 2,It sharply raises the Speed stat of a Pokémon in battle. It wears off if the Pokémon is withdrawn.
468,XSPEED3,X Speed 3,It drastically raises the Speed stat of a Pokémon in battle. It wears off if the Pokémon is withdrawn.
469,XSPEED6,X Speed 6,It raises the Speed stat of a Pokémon in battle immensely. It wears off if the Pokémon is withdrawn.
470,XACCURACY,X Accuracy,An item that raises the accuracy of a Pokémon in battle. It wears off if the Pokémon is withdrawn.
471,XACCURACY2,X Accuracy 2,It sharply raises the accuracy of a Pokémon in battle. It wears off if the Pokémon is withdrawn.
472,XACCURACY3,X Accuracy 3,It drastically raises the accuracy of a Pokémon in battle. It wears off if the Pokémon is withdrawn.
473,XACCURACY6,X Accuracy 6,It raises the accuracy of a Pokémon in battle immensely. It wears off if the Pokémon is withdrawn.
474,DIREHIT,Dire Hit,It raises the critical-hit ratio greatly. It can be used only once and wears off if the Pokémon is withdrawn.
475,DIREHIT2,Dire Hit 2,It can be used many times to raise the critical-hit ratio of one Pokémon. It wears off if the Pokémon is withdrawn.
476,DIREHIT3,Dire Hit 3,It can be used many times to greatly raise a Pokémon's critical-hit ratio. It wears off if the Pokémon is withdrawn.
477,GUARDSPEC,Guard Spec.,An item that prevents stat reduction among the Trainer's party Pokémon for five turns after use.
478,BLUEFLUTE,Blue Flute,A blue flute made from blown glass. Its melody awakens a single Pokémon from sleep.
479,YELLOWFLUTE,Yellow Flute,A yellow flute made from blown glass. Its melody snaps a single Pokémon out of confusion.
480,REDFLUTE,Red Flute,A red flute made from blown glass. Its melody snaps a single Pokémon out of infatuation.
481,POKEDOLL,Poké Doll,A doll that attracts Pokémon. Use it to flee from any battle with a wild Pokémon.
482,FLUFFYTAIL,Fluffy Tail,An item that attracts Pokémon. Use it to flee from any battle with a wild Pokémon.
483,POKETOY,Poké Toy,An item that attracts Pokémon. Use it to flee from any battle with a wild Pokémon.
484,BICYCLE,Bicycle,A folding Bicycle that enables much faster movement than the Running Shoes.
485,OLDROD,Old Rod,An old and beat-up fishing rod. Use it by any body of water to fish for wild aquatic Pokémon.
486,GOODROD,Good Rod,"A new, good-quality fishing rod. Use it by any body of water to fish for wild aquatic Pokémon."
487,SUPERROD,Super Rod,"An awesome, high-tech fishing rod. Use it by any body of water to fish for wild aquatic Pokémon."
488,ITEMFINDER,Itemfinder,"A device used for finding items. If there is a hidden item nearby when it is used, it emits a signal."
489,DOWSINGMCHN,Dowsing MCHN,It checks for unseen items in the area and makes noise and lights when it finds something.
490,POKERADAR,Poké Radar,A tool that can search out Pokémon that are hiding in grass. Its battery is recharged as you walk.
491,TOWNMAP,Town Map,A very convenient map that can be viewed anytime. It even shows your present location.
492,POKEFLUTE,Poké Flute,A flute that is said to instantly awaken any Pokémon. It has a lovely tone.
493,COINCASE,Coin Case,"A case for holding coins obtained at the Game Corner. It holds up to 50,000 coins."
494,SILPHSCOPE,Silph Scope,A scope that makes unseeable Pokémon visible. It is made by Silph Co.
495,SQUIRTBOTTLE,Squirtbottle,A bottle used for watering plants.
496,SPRAYDUCK,Sprayduck,A watering can shaped like a Psyduck. It helps promote healthy growth of Berries planted in soft soil.
497,WAILMERPAIL,Wailmer Pail,A tool used for watering Berries and plants.
498,GRACIDEA,Gracidea,A flower sometimes bundled in bouquets to convey gratitude on special occasions like birthdays.
499,AURORATICKET,Aurora Ticket,A ticket required to board the ship to Doxy Island. It glows beautifully.
500,OLDSEAMAP,Old Sea Map,A faded sea chart that shows the way to a certain island.
501,DNASPLICERS,DNA Splicers,A splicer that fuses Kyurem and a certain Pokémon. They are said to have been one in the beginning.
502,REVEALGLASS,Reveal Glass,A glass that reveals the truth. It is a mysterious glass that returns a Pokémon back to its original shape.
503,OVALCHARM,Oval Charm,An oval charm said to increase the chance of Eggs being found at the Day Care.
504,SHINYCHARM,Shiny Charm,A shiny charm said to increase the chance of finding a Shiny Pokémon.
505,REVERSECANDY,Reverse Candy,A candy that does the reverse role that of a Rare Candy.
506,MYSTERYGOOD,Mystery Good,An item that you can't quite make out. What is it?
507,GOTHCREST,Gothitelle Crest,Using Dark- and Psychic-type moves swaps between respective types. Recovers HP.
508,LOVELETTE,Love Letter,A mystery love letter that is meant for Cameron.
509,DEMONSTONE,Rift Matter,A mysterious stone
510,CHINESEFOOD,Mystery Bowl,Weird concoction of ingredients. It smells good-ish?
511,SOULSTONE,Soul Stone,A mysterious stone with a mystical presence inside.
512,WEIRDLETTER,Weird Letter,A suspicious letter given to you by a scientist.
513,LINKHEART,Link Heart,A stone that fills the Pokemon's heart with a feeling similar to that of being traded.
514,GOURMETTREAT,GourmetTreat,A treat that attracts rogue wild Pokemon.
515,ABOMASITE,Abomasite,"One variety of Mega Stone. Have Abomasnow hold it, and this stone will enable it to Mega Evolve in battle."
516,ABSOLITE,Absolite,"One variety of Mega Stone. Have Absol hold it, and this stone will enable it to Mega Evolve in battle."
517,AERODACTYLITE,Aerodactylite,"One variety of Mega Stone. Have Aerodactyl hold it, and this stone will enable it to Mega Evolve in battle."
518,AGGRONITE,Aggronite,"One variety of Mega Stone. Have Aggron hold it, and this stone will enable it to Mega Evolve in battle."
519,ALAKAZITE,Alakazite,"One variety of Mega Stone. Have Alakazam hold it, and this stone will enable it to Mega Evolve in battle."
520,AMPHAROSITE,Ampharosite,"One variety of Mega Stone. Have Ampharos hold it, and this stone will enable it to Mega Evolve in battle."
521,ASSAULTVEST,Assault Vest,An item to be held by a Pokémon. This offensive vest raises Sp. Def but prevents the use of status moves.
522,BANETTITE,Banettite,"One variety of Mega Stone. Have Banette hold it, and this stone will enable it to Mega Evolve in battle."
523,BLASTOISINITE,Blastoisinite,"One  variety of Mega Stones. Have Blastoise hold it, and this stone will enable it to Mega Evolve in battle."
524,BLAZIKENITE,Blazikenite,"One variety of Mega Stone. Have Blaziken hold it, and this stone will enable it to Mega Evolve in battle."
525,CHARIZARDITEX,Charizardite X,"One variety of Mega Stone. Have Charizard hold it, and this stone will enable it to Mega Evolve in battle."
526,CHARIZARDITEY,Charizardite Y,"One variety of Mega Stone. Have Charizard hold it, and this stone will enable it to Mega Evolve in battle."
527,GARCHOMPITE,Garchompite,"One variety of Mega Stone. Have Garchomp hold it, and this stone will enable it to Mega Evolve in battle."
528,GARDEVOIRITE,Gardevoirite,"One variety of Mega Stone. Have Gardevoir hold it, and this stone will enable it to Mega Evolve in battle."
529,GENGARITE,Gengarite,"One variety of Mega Stone. Have Gengar hold it, and this stone will enable it to Mega Evolve in battle."
530,GYARADOSITE,Gyaradosite,"One variety of Mega Stone. Have Gyarados hold it, and this stone will enable it to Mega Evolve in battle.,"
531,HERACRONITE,Heracronite,A stone that enables Heracross to Mega Evolve in Battle.
532,HOUNDOOMINITE,Houndoominite,"One variety of Mega Stone. Have Houndoom hold it, and this stone will enable it to Mega Evolve in battle."
533,INTRIGUINGSTONE,Intriguing Stone,A rather curious stone that might appear to be valuable to some. It's all in the eye of the beholder.
534,JAWFOSSIL,Jaw Fossil,A fossil of an ancient Pokémon that lived in the sea in ancient times. It appears to be part of its jaw.
535,KANGASKHANITE,Kangaskhanite,"One variety of Mega Stone. Have Kangaskhan hold it, and this stone will enable it to Mega Evolve in battle."
536,KEEBERRY,Kee Berry,"If held by a Pokémon, this Berry will increase the Pokémon's Defense stat when hit by a physical attack."
537,LUCARIONITE,Lucarionite,"One variety of Mega Stone. Have Lucario hold it, and this stone will enable it to Mega Evolve in battle."
538,LUMIOSEGALETTE,Lumiose Galette,It can be used once to heal all the status conditions of a Pokémon.
539,MANECTITE,Manectite,"One variety of Mega Stone. Have Manectric hold it, and this stone will enable it to Mega Evolve in battle."
540,MARANGABERRY,Maranga Berry,"If held by a Pokémon, this Berry will increase the Pokémon's Sp. Defense stat when hit by a special attack."
541,MAWILITE,Mawilite,"One variety of Mega Stone. Have Mawile hold it, and this stone will enable it to Mega Evolve in battle."
542,MEDICHAMITE,Medichamite,"One variety of Mega Stone. Have Medicham hold it, and this stone will enable it to Mega Evolve in battle."
543,MEGARING,Mega-Z Ring,This ring contains untold power that unleashes the hidden potential of certain Pokemon!
544,MEWTWONITEX,Mewtwonite X,"One of Mega Stones. Have Mewtwo hold it, and this stone will enable it to Mega Evolve in battle"
545,MEWTWONITEY,Mewtwonite Y,"One of Mega Stones. Have Mewtwo hold it, and this stone will enable it to Mega Evolve in battle"
546,PINSIRITE,Pinsirite,"One variety of Mega Stone. Have Pinsir hold it, and this stone will enable it to Mega Evolve in battle."
547,PIXIEPLATE,Pixie Plate,An item to be held by a Pokémon. It is a stone tablet that boosts the power of Fairy-type moves.
548,ROSELIBERRY,Roseli Berry,"If held by a Pokémon, this Berry will lessen the damage taken from one supereffective Fairy-type attack."
549,SACHET,Sachet,A sachet filled with fragrant perfumes that are just slightly too overwhelming. Yet it's loved by a certain Pokémon.
550,SAFETYGOGGLES,Safety Goggles,An item to be held by a Pokémon. These goggles protect the holder from both weather-related damage and powder.
